Date,Region,Province,Country,Total_Confirmed,Total_Deaths,Total_Recovered
2020-04-06,Lincoln,South Dakota,US,24,0.0,4
2020-04-06,Aurora,South Dakota,US,1,0.0,1
2020-04-06,Faulk,South Dakota,US,1,0.0,1
2020-04-06,Lawrence,South Dakota,US,9,0.0,6
2020-04-06,Todd,South Dakota,US,1,0.0,0
2020-04-06,Union,South Dakota,US,3,0.0,1
2020-04-06,Clark,South Dakota,US,1,0.0,1
2020-04-06,Clay,South Dakota,US,3,0.0,2
2020-04-06,Deuel,South Dakota,US,1,0.0,0
2020-04-06,Fall River,South Dakota,US,1,0.0,1
2020-04-06,Hamlin,South Dakota,US,1,0.0,0
2020-04-06,Hutchinson,South Dakota,US,2,0.0,2
2020-04-06,Marshall,South Dakota,US,1,0.0,1
2020-04-06,Kingsbury,South Dakota,US,1,0.0,1
2020-04-06,Roberts,South Dakota,US,4,0.0,0
2020-04-06,Turner,South Dakota,US,4,0.0,1
2020-04-08,Beadle,South Dakota,US,21,2.0,18
2020-04-08,Bon Homme,South Dakota,US,2,0.0,1
2020-04-08,Charles Mix,South Dakota,US,2,0.0,1
2020-04-08,Davison,South Dakota,US,3,0.0,2
2020-04-08,McCook,South Dakota,US,2,0.0,1
2020-04-08,Minnehaha,South Dakota,US,140,1.0,23
2020-04-08,Brown,South Dakota,US,13,0.0,5
2020-04-08,Pennington,South Dakota,US,6,0.0,3
2020-04-08,Brookings,South Dakota,US,4,0.0,2
2020-04-08,Codington,South Dakota,US,11,0.0,4
2020-04-08,Hughes,South Dakota,US,3,0.0,2
2020-04-08,Lyman,South Dakota,US,1,0.0,1
2020-04-08,Meade,South Dakota,US,1,0.0,1
2020-04-08,Lincoln,South Dakota,US,24,0.0,4
2020-04-08,Aurora,South Dakota,US,1,0.0,1
2020-04-08,Faulk,South Dakota,US,1,0.0,1
2020-04-08,Lawrence,South Dakota,US,9,0.0,6
2020-04-08,Todd,South Dakota,US,1,0.0,0
2020-04-08,Union,South Dakota,US,3,0.0,1
2020-04-08,Clark,South Dakota,US,1,0.0,1
2020-04-08,Clay,South Dakota,US,3,0.0,2
2020-04-08,Deuel,South Dakota,US,1,0.0,0
2020-04-08,Fall River,South Dakota,US,1,0.0,1
2020-04-08,Hamlin,South Dakota,US,1,0.0,0
2020-04-08,Hutchinson,South Dakota,US,2,0.0,2
2020-04-08,Marshall,South Dakota,US,1,0.0,1
2020-04-08,Kingsbury,South Dakota,US,1,0.0,1
2020-04-08,Roberts,South Dakota,US,4,0.0,0
2020-04-08,Turner,South Dakota,US,4,0.0,1
2020-04-11,Aurora,South Dakota,US,1,0.0,1
2020-04-11,Beadle,South Dakota,US,22,2.0,19
2020-04-11,Bon Homme,South Dakota,US,3,0.0,2
2020-04-11,Brookings,South Dakota,US,7,0.0,7
2020-04-11,Charles Mix,South Dakota,US,3,0.0,1
2020-04-11,Clark,South Dakota,US,1,0.0,1
2020-04-11,Clay,South Dakota,US,6,0.0,3
2020-04-11,Codington,South Dakota,US,12,0.0,11
2020-04-11,Davison,South Dakota,US,3,0.0,3
2020-04-11,Deuel,South Dakota,US,1,0.0,1
2020-04-11,Fall River,South Dakota,US,1,0.0,1
2020-04-11,Faulk,South Dakota,US,1,0.0,1
2020-04-11,Hamlin,South Dakota,US,1,0.0,1
2020-04-11,Hughes,South Dakota,US,4,0.0,3
2020-04-11,Hutchinson,South Dakota,US,2,0.0,2
2020-04-11,Lake,South Dakota,US,2,0.0,1
2020-04-11,Lawrence,South Dakota,US,9,0.0,8
2020-04-11,Lincoln,South Dakota,US,38,0.0,16
2020-04-11,Lyman,South Dakota,US,2,0.0,1
2020-04-11,Marshall,South Dakota,US,1,0.0,1
2020-04-11,McCook,South Dakota,US,2,1.0,1
2020-04-11,Meade,South Dakota,US,1,0.0,1
2020-04-11,Minnehaha,South Dakota,US,352,2.0,56
2020-04-11,Pennington,South Dakota,US,8,1.0,5
2020-04-11,Roberts,South Dakota,US,4,0.0,3
2020-04-12,Aurora,South Dakota,US,1,0.0,1
2020-04-12,Beadle,South Dakota,US,21,2.0,19
2020-04-12,Bon Homme,South Dakota,US,3,0.0,2
2020-04-12,Brookings,South Dakota,US,6,0.0,6
2020-04-12,Charles Mix,South Dakota,US,3,0.0,1
2020-04-12,Clark,South Dakota,US,1,0.0,1
2020-04-12,Clay,South Dakota,US,6,0.0,3
2020-04-12,Codington,South Dakota,US,12,0.0,11
2020-04-12,Davison,South Dakota,US,3,0.0,3
2020-04-12,Deuel,South Dakota,US,1,0.0,1
2020-04-12,Fall River,South Dakota,US,1,0.0,1
2020-04-12,Faulk,South Dakota,US,1,0.0,1
2020-04-12,Hamlin,South Dakota,US,1,0.0,1
2020-04-12,Hughes,South Dakota,US,4,0.0,3
2020-04-12,Hutchinson,South Dakota,US,2,0.0,2
2020-04-12,Lake,South Dakota,US,2,0.0,1
2020-04-12,Lawrence,South Dakota,US,9,0.0,8
2020-04-12,Lincoln,South Dakota,US,39,0.0,17
2020-04-12,Lyman,South Dakota,US,2,0.0,2
2020-04-12,Marshall,South Dakota,US,1,0.0,1
2020-04-12,McCook,South Dakota,US,2,1.0,1
2020-04-12,Meade,South Dakota,US,1,0.0,1
2020-04-12,Minnehaha,South Dakota,US,438,2.0,66
2020-04-12,Pennington,South Dakota,US,8,1.0,5
2020-04-12,Roberts,South Dakota,US,4,0.0,3
2020-04-13,Aurora,South Dakota,US,1,0.0,1
2020-04-13,Beadle,South Dakota,US,21,2.0,19
2020-04-13,Bon Homme,South Dakota,US,3,0.0,2
2020-04-13,Brookings,South Dakota,US,6,0.0,6
2020-04-13,Charles Mix,South Dakota,US,3,0.0,1
2020-04-13,Clark,South Dakota,US,1,0.0,1
2020-04-13,Clay,South Dakota,US,6,0.0,3
2020-04-13,Codington,South Dakota,US,12,0.0,11
2020-04-13,Davison,South Dakota,US,3,0.0,3
2020-04-13,Deuel,South Dakota,US,1,0.0,1
2020-04-13,Fall River,South Dakota,US,1,0.0,1
2020-04-13,Faulk,South Dakota,US,1,0.0,1
2020-04-13,Hamlin,South Dakota,US,1,0.0,1
2020-04-13,Hughes,South Dakota,US,4,0.0,3
2020-04-13,Hutchinson,South Dakota,US,2,0.0,2
2020-04-13,Lake,South Dakota,US,2,0.0,1
2020-04-13,Lawrence,South Dakota,US,9,0.0,8
2020-04-13,Lincoln,South Dakota,US,39,0.0,17
2020-04-13,Lyman,South Dakota,US,2,0.0,2
2020-04-13,Marshall,South Dakota,US,1,0.0,1
2020-04-13,McCook,South Dakota,US,2,1.0,1
2020-04-13,Meade,South Dakota,US,1,0.0,1
2020-04-13,Minnehaha,South Dakota,US,438,2.0,66
2020-04-13,Pennington,South Dakota,US,8,1.0,5
2020-04-13,Roberts,South Dakota,US,4,0.0,3
2020-04-14,Aurora,South Dakota,US,1,0.0,1
2020-04-14,Beadle,South Dakota,US,21,2.0,19
2020-04-14,Bon Homme,South Dakota,US,3,0.0,2
2020-04-14,Brookings,South Dakota,US,6,0.0,6
2020-04-14,Charles Mix,South Dakota,US,3,0.0,1
2020-04-14,Clark,South Dakota,US,1,0.0,1
2020-04-14,Clay,South Dakota,US,6,0.0,3
2020-04-14,Codington,South Dakota,US,12,0.0,11
2020-04-14,Davison,South Dakota,US,3,0.0,3
2020-04-14,Deuel,South Dakota,US,1,0.0,1
2020-04-14,Fall River,South Dakota,US,1,0.0,1
2020-04-14,Faulk,South Dakota,US,1,0.0,1
2020-04-14,Hamlin,South Dakota,US,1,0.0,1
2020-04-14,Hughes,South Dakota,US,4,0.0,3
2020-04-14,Hutchinson,South Dakota,US,2,0.0,2
2020-04-14,Lake,South Dakota,US,2,0.0,1
2020-04-14,Lawrence,South Dakota,US,9,0.0,8
2020-04-14,Lincoln,South Dakota,US,39,0.0,17
2020-04-14,Lyman,South Dakota,US,2,0.0,2
2020-04-14,Marshall,South Dakota,US,1,0.0,1
2020-04-14,McCook,South Dakota,US,2,1.0,1
2020-04-14,Meade,South Dakota,US,1,0.0,1
2020-04-14,Minnehaha,South Dakota,US,438,2.0,66
2020-04-14,Pennington,South Dakota,US,8,1.0,5
2020-04-14,Roberts,South Dakota,US,4,0.0,3
2020-03-20,Adams,Illinois,US,1,0.0,0
2020-03-20,Champaign,Illinois,US,1,0.0,0
2020-03-20,Christian,Illinois,US,1,0.0,0
2020-03-20,Clinton,Illinois,US,3,0.0,0
2020-03-20,Cook,Illinois,US,411,3.0,2
2020-03-20,Cumberland,Illinois,US,1,0.0,0
2020-03-20,DuPage,Illinois,US,57,0.0,0
2020-03-20,Jackson,Illinois,US,1,0.0,0
2020-03-20,Kane,Illinois,US,8,0.0,0
2020-03-20,Kankakee,Illinois,US,1,0.0,0
2020-03-20,Kendall,Illinois,US,2,0.0,0
2020-03-20,Lake,Illinois,US,53,0.0,0
2020-03-20,LaSalle,Illinois,US,1,0.0,0
2020-03-20,Madison,Illinois,US,1,0.0,0
2020-03-20,McHenry,Illinois,US,8,0.0,0
2020-03-20,McLean,Illinois,US,4,0.0,0
2020-03-20,Peoria,Illinois,US,3,0.0,0
2020-03-20,Sangamon,Illinois,US,4,1.0,0
2020-03-20,St. Clair,Illinois,US,3,0.0,0
2020-03-20,Washington,Illinois,US,1,0.0,0
2020-03-20,Whiteside,Illinois,US,1,0.0,0
2020-03-20,Will,Illinois,US,10,1.0,0
2020-03-20,Williamson,Illinois,US,1,0.0,0
2020-03-20,Winnebago,Illinois,US,2,0.0,0
2020-03-21,Adams,Illinois,US,0,1.0,0
2020-03-21,Champaign,Illinois,US,0,1.0,0
2020-03-21,Christian,Illinois,US,0,1.0,0
2020-03-21,Clinton,Illinois,US,0,3.0,0
2020-03-21,Cook,Illinois,US,2,542.0,4
2020-03-21,Cumberland,Illinois,US,0,1.0,0
2020-03-21,DeKalb,Illinois,US,0,1.0,0
2020-03-21,DuPage,Illinois,US,0,65.0,0
2020-03-21,Jackson,Illinois,US,0,1.0,0
2020-03-21,Kane,Illinois,US,0,8.0,0
2020-03-21,Kankakee,Illinois,US,0,2.0,0
2020-03-21,Kendall,Illinois,US,0,2.0,0
2020-03-21,Lake,Illinois,US,0,63.0,0
2020-03-21,LaSalle,Illinois,US,0,1.0,0
2020-03-21,Madison,Illinois,US,0,2.0,0
2020-03-21,McHenry,Illinois,US,0,11.0,0
2020-03-21,McLean,Illinois,US,0,6.0,0
2020-03-21,Peoria,Illinois,US,0,3.0,0
2020-03-21,Sangamon,Illinois,US,0,3.0,1
2020-03-21,St. Clair,Illinois,US,0,3.0,0
2020-03-21,Washington,Illinois,US,0,1.0,0
2020-03-21,Whiteside,Illinois,US,0,1.0,0
2020-03-21,Will,Illinois,US,0,11.0,1
2020-03-21,Williamson,Illinois,US,0,1.0,0
2020-03-21,Winnebago,Illinois,US,0,4.0,0
2020-03-22,Adams,Illinois,US,0,1.0,0
2020-03-22,Champaign,Illinois,US,0,2.0,0
2020-03-22,Christian,Illinois,US,0,1.0,0
2020-03-22,Clinton,Illinois,US,0,3.0,0
2020-03-22,Cook,Illinois,US,2,797.0,6
2020-03-22,Cumberland,Illinois,US,0,1.0,0
2020-03-22,DeKalb,Illinois,US,0,1.0,0
2020-03-22,DuPage,Illinois,US,0,79.0,0
2020-03-22,Jackson,Illinois,US,0,1.0,0
2020-03-22,Jo Daviess,Illinois,US,0,1.0,0
2020-03-22,Kane,Illinois,US,0,13.0,0
2020-03-22,Kankakee,Illinois,US,0,2.0,0
2020-03-22,Kendall,Illinois,US,0,4.0,0
2020-03-22,Lake,Illinois,US,0,69.0,0
2020-03-22,LaSalle,Illinois,US,0,1.0,0
2020-03-22,Livingston,Illinois,US,0,1.0,0
2020-03-22,Madison,Illinois,US,0,2.0,0
2020-03-22,McHenry,Illinois,US,0,12.0,0
2020-03-22,McLean,Illinois,US,0,5.0,1
2020-03-22,Peoria,Illinois,US,0,3.0,0
2020-03-22,Rock Island,Illinois,US,0,1.0,0
2020-03-22,Sangamon,Illinois,US,0,3.0,1
2020-03-22,St. Clair,Illinois,US,0,3.0,0
2020-03-22,Stephenson,Illinois,US,0,1.0,0
2020-03-22,Washington,Illinois,US,0,1.0,0
2020-03-22,Whiteside,Illinois,US,0,1.0,0
2020-03-22,Will,Illinois,US,0,21.0,1
2020-03-22,Williamson,Illinois,US,0,1.0,0
2020-03-22,Winnebago,Illinois,US,0,4.0,0
2020-03-23,Adams,Illinois,US,0,1.0,0
2020-03-23,Champaign,Illinois,US,0,2.0,0
2020-03-23,Christian,Illinois,US,0,1.0,0
2020-03-23,Clinton,Illinois,US,0,3.0,0
2020-03-23,Cook,Illinois,US,2,911.0,9
2020-03-23,Cumberland,Illinois,US,0,1.0,0
2020-03-23,DeKalb,Illinois,US,0,1.0,0
2020-03-23,DuPage,Illinois,US,0,95.0,0
2020-03-23,Jackson,Illinois,US,0,1.0,0
2020-03-23,Jo Daviess,Illinois,US,0,1.0,0
2020-03-23,Kane,Illinois,US,0,18.0,0
2020-03-23,Kankakee,Illinois,US,0,3.0,0
2020-03-23,Kendall,Illinois,US,0,4.0,0
2020-03-23,Lake,Illinois,US,0,96.0,0
2020-03-23,LaSalle,Illinois,US,0,2.0,0
2020-03-23,Livingston,Illinois,US,0,1.0,0
2020-03-23,Madison,Illinois,US,0,2.0,0
2020-03-23,McHenry,Illinois,US,0,12.0,0
2020-03-23,McLean,Illinois,US,0,6.0,1
2020-03-23,Monroe,Illinois,US,0,1.0,0
2020-03-23,Peoria,Illinois,US,0,3.0,0
2020-03-23,Rock Island,Illinois,US,0,1.0,0
2020-03-23,Sangamon,Illinois,US,0,3.0,1
2020-03-23,St. Clair,Illinois,US,0,4.0,0
2020-03-23,Stephenson,Illinois,US,0,1.0,0
2020-03-23,Washington,Illinois,US,0,1.0,0
2020-03-23,Whiteside,Illinois,US,0,1.0,0
2020-03-23,Will,Illinois,US,0,23.0,1
2020-03-23,Williamson,Illinois,US,0,1.0,0
2020-03-23,Winnebago,Illinois,US,0,5.0,0
2020-03-24,Adams,Illinois,US,0,1.0,0
2020-03-24,Champaign,Illinois,US,0,2.0,0
2020-03-24,Christian,Illinois,US,0,1.0,0
2020-03-24,Clinton,Illinois,US,0,3.0,0
2020-03-24,Cook,Illinois,US,2,1180.0,12
2020-03-24,Cumberland,Illinois,US,0,1.0,0
2020-03-24,DeKalb,Illinois,US,0,1.0,0
2020-03-24,DuPage,Illinois,US,0,102.0,1
2020-03-24,Grundy,Illinois,US,0,1.0,0
2020-03-24,Jackson,Illinois,US,0,1.0,0
2020-03-24,Jo Daviess,Illinois,US,0,1.0,0
2020-03-24,Kane,Illinois,US,0,24.0,0
2020-03-24,Kankakee,Illinois,US,0,4.0,0
2020-03-24,Kendall,Illinois,US,0,4.0,0
2020-03-24,Lake,Illinois,US,0,111.0,0
2020-03-24,LaSalle,Illinois,US,0,3.0,0
2020-03-24,Livingston,Illinois,US,0,1.0,0
2020-03-24,Madison,Illinois,US,0,2.0,0
2020-03-24,McHenry,Illinois,US,0,14.0,0
2020-03-24,McLean,Illinois,US,0,6.0,1
2020-03-24,Monroe,Illinois,US,0,1.0,0
2020-03-24,Peoria,Illinois,US,0,3.0,0
2020-03-24,Rock Island,Illinois,US,0,1.0,0
2020-03-24,Sangamon,Illinois,US,0,4.0,1
2020-03-24,St. Clair,Illinois,US,0,7.0,0
2020-03-24,Stephenson,Illinois,US,0,1.0,0
2020-03-24,Washington,Illinois,US,0,1.0,0
2020-03-24,Whiteside,Illinois,US,0,1.0,0
2020-03-24,Will,Illinois,US,0,27.0,1
2020-03-24,Williamson,Illinois,US,0,1.0,0
2020-03-24,Winnebago,Illinois,US,0,5.0,0
2020-03-25,Adams,Illinois,US,0,1.0,0
2020-03-25,Champaign,Illinois,US,0,4.0,0
2020-03-25,Christian,Illinois,US,0,1.0,0
2020-03-25,Clinton,Illinois,US,0,4.0,0
2020-03-25,Cook,Illinois,US,2,1403.0,13
2020-03-25,Cumberland,Illinois,US,0,1.0,0
2020-03-25,DeKalb,Illinois,US,0,1.0,0
2020-03-25,Douglas,Illinois,US,0,1.0,0
2020-03-25,DuPage,Illinois,US,0,130.0,1
2020-03-25,Grundy,Illinois,US,0,1.0,0
2020-03-25,Jackson,Illinois,US,0,1.0,0
2020-03-25,Jo Daviess,Illinois,US,0,1.0,0
2020-03-25,Kane,Illinois,US,0,37.0,1
2020-03-25,Kankakee,Illinois,US,0,6.0,0
2020-03-25,Kendall,Illinois,US,0,6.0,0
2020-03-25,Lake,Illinois,US,0,139.0,0
2020-03-25,LaSalle,Illinois,US,0,3.0,0
2020-03-25,Livingston,Illinois,US,0,1.0,0
2020-03-25,Logan,Illinois,US,0,1.0,0
2020-03-25,Madison,Illinois,US,0,3.0,0
2020-03-25,Marshall,Illinois,US,0,1.0,0
2020-03-25,McHenry,Illinois,US,0,19.0,0
2020-03-25,McLean,Illinois,US,0,6.0,1
2020-03-25,Monroe,Illinois,US,0,2.0,0
2020-03-25,Morgan,Illinois,US,0,1.0,0
2020-03-25,Peoria,Illinois,US,0,4.0,0
2020-03-25,Rock Island,Illinois,US,0,3.0,0
2020-03-25,Sangamon,Illinois,US,0,4.0,1
2020-03-25,St. Clair,Illinois,US,0,7.0,0
2020-03-25,Stephenson,Illinois,US,0,1.0,0
2020-03-25,Washington,Illinois,US,0,1.0,0
2020-03-25,Whiteside,Illinois,US,0,1.0,0
2020-03-25,Will,Illinois,US,0,39.0,2
2020-03-25,Williamson,Illinois,US,0,1.0,0
2020-03-25,Winnebago,Illinois,US,0,6.0,0
2020-03-26,Adams,Illinois,US,0,1.0,0
2020-03-26,Champaign,Illinois,US,0,8.0,0
2020-03-26,Christian,Illinois,US,0,1.0,0
2020-03-26,Clinton,Illinois,US,0,5.0,0
2020-03-26,Cook,Illinois,US,2,1884.0,18
2020-03-26,Cumberland,Illinois,US,0,1.0,0
2020-03-26,DeKalb,Illinois,US,0,3.0,0
2020-03-26,Douglas,Illinois,US,0,1.0,0
2020-03-26,DuPage,Illinois,US,0,181.0,1
2020-03-26,Franklin,Illinois,US,0,1.0,0
2020-03-26,Grundy,Illinois,US,0,2.0,0
2020-03-26,Jackson,Illinois,US,0,1.0,0
2020-03-26,Jo Daviess,Illinois,US,0,1.0,0
2020-03-26,Kane,Illinois,US,0,56.0,1
2020-03-26,Kankakee,Illinois,US,0,15.0,0
2020-03-26,Kendall,Illinois,US,0,7.0,0
2020-03-26,Lake,Illinois,US,0,185.0,0
2020-03-26,LaSalle,Illinois,US,0,3.0,0
2020-03-26,Livingston,Illinois,US,0,1.0,0
2020-03-26,Madison,Illinois,US,0,6.0,0
2020-03-26,Marshall,Illinois,US,0,1.0,0
2020-03-26,McHenry,Illinois,US,0,26.0,1
2020-03-26,McLean,Illinois,US,0,6.0,1
2020-03-26,Monroe,Illinois,US,0,3.0,0
2020-03-26,Morgan,Illinois,US,0,1.0,0
2020-03-26,Peoria,Illinois,US,0,5.0,0
2020-03-26,Rock Island,Illinois,US,0,4.0,0
2020-03-26,Sangamon,Illinois,US,0,6.0,1
2020-03-26,St. Clair,Illinois,US,0,13.0,0
2020-03-26,Stephenson,Illinois,US,0,2.0,0
2020-03-26,Tazewell,Illinois,US,0,2.0,0
2020-03-26,Washington,Illinois,US,0,1.0,0
2020-03-26,Whiteside,Illinois,US,0,1.0,0
2020-03-26,Will,Illinois,US,0,64.0,3
2020-03-26,Williamson,Illinois,US,0,1.0,0
2020-03-26,Winnebago,Illinois,US,0,8.0,0
2020-03-27,Adams,Illinois,US,0,1.0,0
2020-03-27,Bureau,Illinois,US,0,1.0,0
2020-03-27,Champaign,Illinois,US,0,10.0,0
2020-03-27,Christian,Illinois,US,0,1.0,0
2020-03-27,Clinton,Illinois,US,0,5.0,0
2020-03-27,Cook,Illinois,US,2,2217.0,20
2020-03-27,Cumberland,Illinois,US,0,1.0,0
2020-03-27,DeKalb,Illinois,US,0,4.0,0
2020-03-27,Douglas,Illinois,US,0,1.0,0
2020-03-27,DuPage,Illinois,US,0,193.0,6
2020-03-27,Franklin,Illinois,US,0,1.0,0
2020-03-27,Grundy,Illinois,US,0,2.0,0
2020-03-27,Henry,Illinois,US,0,1.0,0
2020-03-27,Iroquois,Illinois,US,0,1.0,0
2020-03-27,Jackson,Illinois,US,0,1.0,0
2020-03-27,Jo Daviess,Illinois,US,0,1.0,0
2020-03-27,Kane,Illinois,US,0,73.0,2
2020-03-27,Kankakee,Illinois,US,0,17.0,0
2020-03-27,Kendall,Illinois,US,0,8.0,0
2020-03-27,Lake,Illinois,US,0,230.0,0
