Date,Region,Province,Country,Total_Confirmed,Total_Deaths,Total_Recovered,Total_Active
01-24-2020,,Shaanxi,Mainland China,5.0,,,
01-24-2020,,Heilongjiang,Mainland China,4.0,1.0,,
01-24-2020,,Liaoning,Mainland China,4.0,,,
01-24-2020,,Guizhou,Mainland China,3.0,,,
01-24-2020,,Jilin,Mainland China,3.0,,,
01-24-2020,,Taiwan,Taiwan,3.0,,,
01-24-2020,,Ningxia,Mainland China,2.0,,,
01-24-2020,,Hong Kong,Hong Kong,2.0,,,
01-24-2020,,Macau,Macau,2.0,,,
01-24-2020,,Hebei,Mainland China,2.0,1.0,,
01-24-2020,,Gansu,Mainland China,2.0,,,
01-24-2020,,Xinjiang,Mainland China,2.0,,,
01-24-2020,,Shanxi,Mainland China,1.0,,,
01-24-2020,,Inner Mongolia,Mainland China,1.0,,,
01-24-2020,,Qinghai,Mainland China,,,,
01-24-2020,,Washington,US,1.0,,,
01-24-2020,,Chicago,US,1.0,,,
01-24-2020,,,Japan,2.0,,,
01-24-2020,,,Thailand,5.0,,,
01-24-2020,,,South Korea,2.0,,,
01-24-2020,,,Singapore,3.0,,,
01-24-2020,,,Vietnam,2.0,,,
01-24-2020,,,France,2.0,,,
01-25-2020,,Hubei,Mainland China,761.0,40.0,32.0,
01-25-2020,,Guangdong,Mainland China,78.0,,2.0,
01-25-2020,,Zhejiang,Mainland China,62.0,,1.0,
01-25-2020,,Chongqing,Mainland China,57.0,,,
01-25-2020,,Hunan,Mainland China,43.0,,,
01-25-2020,,Beijing,Mainland China,41.0,,2.0,
01-25-2020,,Anhui,Mainland China,39.0,,,
01-25-2020,,Shanghai,Mainland China,33.0,,1.0,
01-25-2020,,Henan,Mainland China,32.0,,,
01-25-2020,,Sichuan,Mainland China,28.0,,,
01-25-2020,,Shandong,Mainland China,27.0,,,
01-25-2020,,Guangxi,Mainland China,23.0,,,
01-25-2020,,Hainan,Mainland China,19.0,,,
01-25-2020,,Jiangxi,Mainland China,18.0,,,
01-25-2020,,Fujian,Mainland China,18.0,,,
01-25-2020,,Jiangsu,Mainland China,18.0,,1.0,
01-25-2020,,Liaoning,Mainland China,17.0,,,
01-25-2020,,Shaanxi,Mainland China,15.0,,,
01-25-2020,,Yunnan,Mainland China,11.0,,,
01-25-2020,,Tianjin,Mainland China,10.0,,,
01-25-2020,,Heilongjiang,Mainland China,9.0,1.0,,
01-25-2020,,Hebei,Mainland China,8.0,1.0,,
01-25-2020,,Inner Mongolia,Mainland China,7.0,,,
01-25-2020,,Shanxi,Mainland China,6.0,,,
01-25-2020,,Hong Kong,Hong Kong,5.0,,,
01-25-2020,,Guizhou,Mainland China,4.0,,,
01-25-2020,,Jilin,Mainland China,4.0,,,
01-25-2020,,Gansu,Mainland China,4.0,,,
01-25-2020,,Ningxia,Mainland China,3.0,,,
01-25-2020,,Taiwan,Taiwan,3.0,,,
01-25-2020,,Xinjiang,Mainland China,3.0,,,
01-25-2020,,Macau,Macau,2.0,,,
01-25-2020,,Qinghai,Mainland China,1.0,,,
01-25-2020,,Washington,US,1.0,,,
01-25-2020,,Illinois,US,1.0,,,
01-25-2020,,,Japan,2.0,,,
01-25-2020,,,Thailand,7.0,,,
01-25-2020,,,South Korea,2.0,,,
01-25-2020,,,Singapore,3.0,,,
01-25-2020,,,Vietnam,2.0,,,
01-25-2020,,,France,3.0,,,
01-25-2020,,,Australia,4.0,,,
01-25-2020,,,Nepal,1.0,,,
01-25-2020,,,Malaysia,3.0,,,
01-26-2020,,Hubei,Mainland China,1058.0,52.0,42.0,
01-26-2020,,Guangdong,Mainland China,111.0,,2.0,
01-26-2020,,Zhejiang,Mainland China,104.0,,1.0,
01-26-2020,,Henan,Mainland China,83.0,1.0,,
01-26-2020,,Chongqing,Mainland China,75.0,,,
01-26-2020,,Hunan,Mainland China,69.0,,,
01-26-2020,,Beijing,Mainland China,68.0,,2.0,
01-26-2020,,Anhui,Mainland China,60.0,,,
01-26-2020,,Shandong,Mainland China,46.0,,,
01-26-2020,,Sichuan,Mainland China,44.0,,,
01-26-2020,,Shanghai,Mainland China,40.0,1.0,1.0,
01-26-2020,,Guangxi,Mainland China,36.0,,,
01-26-2020,,Jiangxi,Mainland China,36.0,,,
01-26-2020,,Fujian,Mainland China,35.0,,,
01-26-2020,,Jiangsu,Mainland China,33.0,,1.0,
01-26-2020,,Hainan,Mainland China,22.0,,,
01-26-2020,,Shaanxi,Mainland China,22.0,,,
01-26-2020,,Liaoning,Mainland China,21.0,,,
01-26-2020,,Yunnan,Mainland China,16.0,,,
01-26-2020,,Heilongjiang,Mainland China,15.0,1.0,,
01-26-2020,,Tianjin,Mainland China,14.0,,,
01-26-2020,,Hebei,Mainland China,13.0,1.0,,
01-26-2020,,Shanxi,Mainland China,9.0,,,
01-26-2020,,Hong Kong,Hong Kong,8.0,,,
01-26-2020,,Inner Mongolia,Mainland China,7.0,,,
01-26-2020,,Gansu,Mainland China,7.0,,,
01-26-2020,,Guizhou,Mainland China,5.0,,,
01-26-2020,,Macau,Macau,5.0,,,
01-26-2020,,Ningxia,Mainland China,4.0,,,
01-26-2020,,Jilin,Mainland China,4.0,,,
01-26-2020,,Taiwan,Taiwan,4.0,,,
01-26-2020,,Xinjiang,Mainland China,4.0,,,
01-26-2020,,Qinghai,Mainland China,1.0,,,
01-26-2020,,Washington,US,1.0,,,
01-26-2020,,Illinois,US,1.0,,,
01-26-2020,,California,US,2.0,,,
01-26-2020,,Arizona,US,1.0,,,
01-26-2020,,,Japan,4.0,,1.0,
01-26-2020,,,Thailand,8.0,,2.0,
01-26-2020,,,South Korea,3.0,,,
01-26-2020,,,Singapore,4.0,,,
01-26-2020,,,Vietnam,2.0,,,
01-26-2020,,,France,3.0,,,
01-26-2020,,,Australia,4.0,,,
01-26-2020,,,Nepal,1.0,,,
01-26-2020,,,Malaysia,4.0,,,
01-26-2020,,Ontario,Canada,1.0,,,
01-27-2020,,Hubei,Mainland China,1423.0,76.0,45.0,
01-27-2020,,Guangdong,Mainland China,151.0,,4.0,
01-27-2020,,Zhejiang,Mainland China,128.0,,1.0,
01-27-2020,,Henan,Mainland China,128.0,1.0,,
01-27-2020,,Chongqing,Mainland China,110.0,,,
01-27-2020,,Hunan,Mainland China,100.0,,,
01-27-2020,,Beijing,Mainland China,80.0,1.0,2.0,
01-27-2020,,Shandong,Mainland China,75.0,,,
01-27-2020,,Jiangxi,Mainland China,72.0,,2.0,
01-27-2020,,Anhui,Mainland China,70.0,,,
01-27-2020,,Sichuan,Mainland China,69.0,,,
01-27-2020,,Fujian,Mainland China,59.0,,,
01-27-2020,,Shanghai,Mainland China,53.0,1.0,3.0,
01-27-2020,,Jiangsu,Mainland China,47.0,,1.0,
01-27-2020,,Guangxi,Mainland China,46.0,,,
01-27-2020,,Shaanxi,Mainland China,35.0,,,
01-27-2020,,Hainan,Mainland China,33.0,1.0,,
01-27-2020,,Liaoning,Mainland China,27.0,,,
01-27-2020,,Yunnan,Mainland China,26.0,,,
01-27-2020,,Tianjin,Mainland China,23.0,,,
01-27-2020,,Heilongjiang,Mainland China,21.0,1.0,,
01-27-2020,,Hebei,Mainland China,18.0,1.0,,
01-27-2020,,Gansu,Mainland China,14.0,,,
01-27-2020,,Shanxi,Mainland China,13.0,,,
01-27-2020,,Inner Mongolia,Mainland China,11.0,,,
01-27-2020,,Hong Kong,Hong Kong,8.0,,,
01-27-2020,,Guizhou,Mainland China,7.0,,,
01-27-2020,,Ningxia,Mainland China,7.0,,,
01-27-2020,,Jilin,Mainland China,6.0,,,
01-27-2020,,Macau,Macau,6.0,,,
01-27-2020,,Qinghai,Mainland China,6.0,,,
01-27-2020,,Taiwan,Taiwan,5.0,,,
01-27-2020,,Xinjiang,Mainland China,5.0,,,
01-27-2020,,Washington,US,1.0,,,
01-27-2020,,Illinois,US,1.0,,,
01-27-2020,,California,US,2.0,,,
01-27-2020,,Arizona,US,1.0,,,
01-27-2020,,,Japan,4.0,,1.0,
01-27-2020,,,Thailand,8.0,,2.0,
01-27-2020,,,South Korea,4.0,,,
01-27-2020,,,Singapore,5.0,,,
01-27-2020,,,Vietnam,2.0,,,
01-27-2020,,,France,3.0,,,
01-27-2020,,,Nepal,1.0,,,
01-27-2020,,,Malaysia,4.0,,,
01-27-2020,,Ontario,Canada,1.0,,,
01-27-2020,,,Cambodia,1.0,,,
01-27-2020,,,Sri Lanka,1.0,,,
01-27-2020,,,Ivory Coast,1.0,,,
01-27-2020,,New South Wales,Australia,4.0,,,
01-27-2020,,Victoria,Australia,1.0,,,
01-28-2020,,Hubei,Mainland China,3554.0,125.0,80.0,
01-28-2020,,Guangdong,Mainland China,207.0,,4.0,
01-28-2020,,Zhejiang,Mainland China,173.0,,3.0,
01-28-2020,,Henan,Mainland China,168.0,1.0,,
01-28-2020,,Hunan,Mainland China,143.0,,,
01-28-2020,,Chongqing,Mainland China,132.0,,,
01-28-2020,,Jiangxi,Mainland China,109.0,,3.0,
01-28-2020,,Anhui,Mainland China,106.0,,,
01-28-2020,,Shandong,Mainland China,95.0,,,
01-28-2020,,Beijing,Mainland China,91.0,1.0,4.0,
01-28-2020,,Sichuan,Mainland China,90.0,,,
01-28-2020,,Fujian,Mainland China,80.0,,,
01-28-2020,,Jiangsu,Mainland China,70.0,,1.0,
01-28-2020,,Shanghai,Mainland China,66.0,1.0,4.0,
01-28-2020,,Guangxi,Mainland China,51.0,,2.0,
01-28-2020,,Shaanxi,Mainland China,46.0,,,
01-28-2020,,Yunnan,Mainland China,44.0,,,
01-28-2020,,Hainan,Mainland China,40.0,1.0,,
01-28-2020,,Liaoning,Mainland China,34.0,,,
01-28-2020,,Hebei,Mainland China,33.0,1.0,,
01-28-2020,,Heilongjiang,Mainland China,33.0,1.0,,
01-28-2020,,Shanxi,Mainland China,27.0,,,
01-28-2020,,Tianjin,Mainland China,24.0,,,
01-28-2020,,Gansu,Mainland China,19.0,,,
01-28-2020,,Inner Mongolia,Mainland China,15.0,,,
01-28-2020,,Ningxia,Mainland China,11.0,,,
01-28-2020,,Xinjiang,Mainland China,10.0,,,
01-28-2020,,Guizhou,Mainland China,9.0,,,
01-28-2020,,Jilin,Mainland China,8.0,,,
01-28-2020,,Taiwan,Taiwan,8.0,,,
01-28-2020,,Hong Kong,Hong Kong,8.0,,,
01-28-2020,,Macau,Macau,7.0,,,
01-28-2020,,Qinghai,Mainland China,6.0,,,
01-28-2020,,Washington,US,1.0,,,
01-28-2020,,Illinois,US,1.0,,,
01-28-2020,,California,US,2.0,,,
01-28-2020,,Arizona,US,1.0,,,
01-28-2020,,,Japan,7.0,,1.0,
01-28-2020,,,Thailand,14.0,,5.0,
01-28-2020,,,South Korea,4.0,,,
01-28-2020,,,Singapore,7.0,,,
01-28-2020,,,Vietnam,2.0,,,
01-28-2020,,,France,4.0,,,
01-28-2020,,,Nepal,1.0,,,
01-28-2020,,,Malaysia,4.0,,,
01-28-2020,,Ontario,Canada,1.0,,,
01-28-2020,,British Columbia,Canada,1.0,,,
01-28-2020,,,Cambodia,1.0,,,
01-28-2020,,,Sri Lanka,1.0,,,
01-28-2020,,New South Wales,Australia,4.0,,,
01-28-2020,,Victoria,Australia,1.0,,,
01-28-2020,,Bavaria,Germany,4.0,,,
01-29-2020,,Hubei,Mainland China,3554.0,125.0,88.0,
01-29-2020,,Zhejiang,Mainland China,296.0,,3.0,
01-29-2020,,Guangdong,Mainland China,277.0,,5.0,
01-29-2020,,Hunan,Mainland China,221.0,,,
01-29-2020,,Henan,Mainland China,206.0,2.0,1.0,
01-29-2020,,Anhui,Mainland China,152.0,,2.0,
01-29-2020,,Chongqing,Mainland China,147.0,,1.0,
01-29-2020,,Shandong,Mainland China,130.0,,1.0,
01-29-2020,,Beijing,Mainland China,111.0,1.0,4.0,
01-29-2020,,Jiangxi,Mainland China,109.0,,3.0,
01-29-2020,,Sichuan,Mainland China,108.0,1.0,1.0,
01-29-2020,,Jiangsu,Mainland China,99.0,,1.0,
01-29-2020,,Shanghai,Mainland China,96.0,1.0,5.0,
01-29-2020,,Fujian,Mainland China,84.0,,,
01-29-2020,,Guangxi,Mainland China,58.0,,2.0,
01-29-2020,,Shaanxi,Mainland China,56.0,,,
01-29-2020,,Yunnan,Mainland China,55.0,,,
01-29-2020,,Hebei,Mainland China,48.0,1.0,,
01-29-2020,,Hainan,Mainland China,43.0,1.0,,
01-29-2020,,Liaoning,Mainland China,39.0,,1.0,
01-29-2020,,Heilongjiang,Mainland China,38.0,1.0,,
01-29-2020,,Tianjin,Mainland China,27.0,,,
01-29-2020,,Shanxi,Mainland China,27.0,,1.0,
01-29-2020,,Gansu,Mainland China,24.0,,,
01-29-2020,,Inner Mongolia,Mainland China,16.0,,,
01-29-2020,,Xinjiang,Mainland China,13.0,,,
01-29-2020,,Ningxia,Mainland China,12.0,,,
01-29-2020,,Hong Kong,Hong Kong,10.0,,,
01-29-2020,,Guizhou,Mainland China,9.0,,1.0,
01-29-2020,,Jilin,Mainland China,9.0,,,
01-29-2020,,Taiwan,Taiwan,8.0,,,
01-29-2020,,Macau,Macau,7.0,,,
01-29-2020,,Qinghai,Mainland China,6.0,,,
01-29-2020,,Washington,US,1.0,,,
01-29-2020,,Illinois,US,1.0,,,
01-29-2020,,California,US,2.0,,,
01-29-2020,,Arizona,US,1.0,,,
01-29-2020,,,Japan,7.0,,1.0,
01-29-2020,,,Thailand,14.0,,5.0,
01-29-2020,,,South Korea,4.0,,,
01-29-2020,,,Singapore,7.0,,,
01-29-2020,,,Vietnam,2.0,,,
01-29-2020,,,France,5.0,,,
01-29-2020,,,Nepal,1.0,,,
01-29-2020,,,Malaysia,7.0,,,
01-29-2020,,Ontario,Canada,1.0,,,
01-29-2020,,British Columbia,Canada,1.0,,,
01-29-2020,,,Cambodia,1.0,,,
01-29-2020,,,Sri Lanka,1.0,,,
01-29-2020,,New South Wales,Australia,4.0,,,
01-29-2020,,Victoria,Australia,1.0,,,
01-29-2020,,Bavaria,Germany,4.0,,,
01-29-2020,,,Finland,1.0,,,
01-29-2020,,,United Arab Emirates,4.0,,,
01-30-2020,,Hubei,Mainland China,4903.0,162.0,90.0,
01-30-2020,,Zhejiang,Mainland China,428.0,,4.0,
01-30-2020,,Guangdong,Mainland China,354.0,,10.0,
01-30-2020,,Henan,Mainland China,278.0,2.0,2.0,
01-30-2020,,Hunan,Mainland China,277.0,,2.0,
01-30-2020,,Anhui,Mainland China,200.0,,2.0,
01-30-2020,,Chongqing,Mainland China,182.0,,1.0,
01-30-2020,,Jiangxi,Mainland China,162.0,,5.0,
01-30-2020,,Shandong,Mainland China,158.0,,1.0,
01-30-2020,,Sichuan,Mainland China,142.0,1.0,1.0,
01-30-2020,,Jiangsu,Mainland China,129.0,,1.0,
01-30-2020,,Beijing,Mainland China,114.0,1.0,4.0,
01-30-2020,,Shanghai,Mainland China,112.0,1.0,5.0,
01-30-2020,,Fujian,Mainland China,101.0,,,
01-30-2020,,Guangxi,Mainland China,78.0,,2.0,
01-30-2020,,Yunnan,Mainland China,70.0,,,
01-30-2020,,Hebei,Mainland China,65.0,1.0,,
01-30-2020,,Shaanxi,Mainland China,63.0,,,
01-30-2020,,Hainan,Mainland China,46.0,1.0,1.0,
01-30-2020,,Heilongjiang,Mainland China,44.0,2.0,,
01-30-2020,,Liaoning,Mainland China,41.0,,1.0,
01-30-2020,,Shanxi,Mainland China,35.0,,1.0,
01-30-2020,,Tianjin,Mainland China,31.0,,,
01-30-2020,,Gansu,Mainland China,26.0,,,
01-30-2020,,Inner Mongolia,Mainland China,19.0,,,
01-30-2020,,Ningxia,Mainland China,17.0,,,
01-30-2020,,Jilin,Mainland China,14.0,,1.0,
01-30-2020,,Xinjiang,Mainland China,14.0,,,
01-30-2020,,Guizhou,Mainland China,12.0,,1.0,
01-30-2020,,Hong Kong,Hong Kong,10.0,,,
01-30-2020,,Taiwan,Taiwan,9.0,,,
01-30-2020,,Qinghai,Mainland China,8.0,,,
01-30-2020,,Macau,Macau,7.0,,,
01-30-2020,,Tibet,Mainland China,1.0,,,
01-30-2020,,Washington,US,1.0,,,
01-30-2020,,Illinois,US,1.0,,,
01-30-2020,,California,US,2.0,,,
01-30-2020,,Arizona,US,1.0,,,
01-30-2020,,,Japan,11.0,,1.0,
01-30-2020,,,Thailand,14.0,,5.0,
01-30-2020,,,South Korea,4.0,,,
01-30-2020,,,Singapore,10.0,,,
01-30-2020,,,Vietnam,2.0,,,
01-30-2020,,,France,5.0,,,
01-30-2020,,,Nepal,1.0,,,
01-30-2020,,,Malaysia,8.0,,,
01-30-2020,,Ontario,Canada,2.0,,,
01-30-2020,,British Columbia,Canada,1.0,,,
01-30-2020,,,Cambodia,1.0,,,
01-30-2020,,,Sri Lanka,1.0,,,
01-30-2020,,New South Wales,Australia,4.0,,2.0,
01-30-2020,,Victoria,Australia,2.0,,,
01-30-2020,,Queensland,Australia,3.0,,,
01-30-2020,,Bavaria,Germany,4.0,,,
01-30-2020,,,Finland,1.0,,,
01-30-2020,,,United Arab Emirates,4.0,,,
01-30-2020,,,Philippines,1.0,,,
01-30-2020,,,India,1.0,,,
01-31-2020,,Hubei,Mainland China,5806.0,204.0,141.0,
01-31-2020,,Zhejiang,Mainland China,538.0,,14.0,
01-31-2020,,Guangdong,Mainland China,436.0,,11.0,
01-31-2020,,Henan,Mainland China,352.0,2.0,3.0,
01-31-2020,,Hunan,Mainland China,332.0,,2.0,
01-31-2020,,Jiangxi,Mainland China,240.0,,7.0,
01-31-2020,,Anhui,Mainland China,237.0,,3.0,
01-31-2020,,Chongqing,Mainland China,211.0,,1.0,
01-31-2020,,Shandong,Mainland China,184.0,,2.0,
01-31-2020,,Sichuan,Mainland China,177.0,1.0,1.0,
01-31-2020,,Jiangsu,Mainland China,168.0,,5.0,
01-31-2020,,Beijing,Mainland China,139.0,1.0,5.0,
01-31-2020,,Shanghai,Mainland China,135.0,1.0,9.0,
01-31-2020,,Fujian,Mainland China,120.0,,,
01-31-2020,,Guangxi,Mainland China,87.0,,2.0,
01-31-2020,,Shaanxi,Mainland China,87.0,,,
01-31-2020,,Yunnan,Mainland China,83.0,,1.0,
01-31-2020,,Hebei,Mainland China,82.0,1.0,,
01-31-2020,,Heilongjiang,Mainland China,59.0,2.0,,
01-31-2020,,Hainan,Mainland China,52.0,1.0,1.0,
01-31-2020,,Liaoning,Mainland China,48.0,,1.0,
01-31-2020,,Shanxi,Mainland China,39.0,,1.0,
01-31-2020,,Tianjin,Mainland China,32.0,,,
01-31-2020,,Guizhou,Mainland China,29.0,,2.0,
01-31-2020,,Gansu,Mainland China,29.0,,,
01-31-2020,,Ningxia,Mainland China,21.0,,,
01-31-2020,,Inner Mongolia,Mainland China,20.0,,1.0,
01-31-2020,,Xinjiang,Mainland China,17.0,,,
01-31-2020,,Jilin,Mainland China,14.0,,1.0,
01-31-2020,,Hong Kong,Hong Kong,12.0,,,
01-31-2020,,Taiwan,Taiwan,10.0,,,
01-31-2020,,Qinghai,Mainland China,8.0,,,
01-31-2020,,Macau,Macau,7.0,,,
01-31-2020,,Tibet,Mainland China,1.0,,,
01-31-2020,,,Thailand,19.0,,5.0,
01-31-2020,,,Japan,15.0,,1.0,
01-31-2020,,,Singapore,13.0,,,
01-31-2020,,,South Korea,11.0,,,
01-31-2020,,,Malaysia,8.0,,,
01-31-2020,,,France,5.0,,,
01-31-2020,,Bavaria,Germany,5.0,,,
01-31-2020,,New South Wales,Australia,4.0,,2.0,
01-31-2020,,,United Arab Emirates,4.0,,,
01-31-2020,,Victoria,Australia,3.0,,,
01-31-2020,,Illinois,US,2.0,,,
01-31-2020,,California,US,2.0,,,
01-31-2020,,,Vietnam,2.0,,,
01-31-2020,,Ontario,Canada,2.0,,,
01-31-2020,,Queensland,Australia,2.0,,,
01-31-2020,,,Italy,2.0,,,
01-31-2020,,,UK,2.0,,,
01-31-2020,,,Russia,2.0,,,
01-31-2020,,Washington,US,1.0,,,
01-31-2020,,Arizona,US,1.0,,,
01-31-2020,,,Nepal,1.0,,,
01-31-2020,,British Columbia,Canada,1.0,,,
01-31-2020,,,Cambodia,1.0,,,
01-31-2020,,,Sri Lanka,1.0,,,
01-31-2020,,,Finland,1.0,,,
01-31-2020,,,Philippines,1.0,,,
01-31-2020,,,India,1.0,,,
01-31-2020,,,Sweden,1.0,,,
02-01-2020,,Hubei,Mainland China,7153.0,249.0,168.0,
02-01-2020,,Zhejiang,Mainland China,599.0,0.0,21.0,
02-01-2020,,Guangdong,Mainland China,535.0,0.0,14.0,
02-01-2020,,Henan,Mainland China,422.0,2.0,3.0,
02-01-2020,,Hunan,Mainland China,389.0,0.0,8.0,
02-01-2020,,Anhui,Mainland China,297.0,0.0,5.0,
02-01-2020,,Jiangxi,Mainland China,286.0,0.0,9.0,
02-01-2020,,Chongqing,Mainland China,247.0,1.0,3.0,
02-01-2020,,Sichuan,Mainland China,207.0,1.0,3.0,
02-01-2020,,Shandong,Mainland China,206.0,0.0,3.0,
02-01-2020,,Jiangsu,Mainland China,202.0,0.0,6.0,
02-01-2020,,Shanghai,Mainland China,169.0,1.0,10.0,
02-01-2020,,Beijing,Mainland China,168.0,1.0,9.0,
02-01-2020,,Fujian,Mainland China,144.0,0.0,0.0,
02-01-2020,,Shaanxi,Mainland China,101.0,0.0,0.0,
02-01-2020,,Guangxi,Mainland China,100.0,0.0,2.0,
02-01-2020,,Hebei,Mainland China,96.0,1.0,0.0,
02-01-2020,,Yunnan,Mainland China,93.0,0.0,2.0,
02-01-2020,,Heilongjiang,Mainland China,80.0,2.0,2.0,
02-01-2020,,Liaoning,Mainland China,64.0,0.0,1.0,
02-01-2020,,Hainan,Mainland China,62.0,1.0,1.0,
02-01-2020,,Shanxi,Mainland China,47.0,0.0,1.0,
02-01-2020,,Tianjin,Mainland China,41.0,0.0,0.0,
02-01-2020,,Gansu,Mainland China,40.0,0.0,0.0,
02-01-2020,,Guizhou,Mainland China,29.0,0.0,2.0,
02-01-2020,,Ningxia,Mainland China,26.0,0.0,0.0,
02-01-2020,,Inner Mongolia,Mainland China,23.0,0.0,1.0,
02-01-2020,,,Japan,20.0,0.0,1.0,
02-01-2020,,,Thailand,19.0,0.0,5.0,
02-01-2020,,Xinjiang,Mainland China,18.0,0.0,0.0,
02-01-2020,,Jilin,Mainland China,17.0,0.0,1.0,
02-01-2020,,,Singapore,16.0,0.0,0.0,
02-01-2020,,Hong Kong,Hong Kong,13.0,0.0,0.0,
